SEQN,split
130380,train
130387,train
130391,test
130392,train
130396,test
130397,validation
130404,train
130406,train
130407,train
130413,train
130419,train
130430,train
130433,train
130437,train
130444,train
130456,train
130457,validation
130461,train
130473,train
130478,train
130480,train
130500,validation
130506,train
130515,validation
130523,train
130530,train
130541,train
130542,test
130550,train
130552,validation
130553,train
130556,validation
130568,validation
130569,test
130571,test
130587,train
130590,test
130596,train
130599,train
130601,train
130607,test
130609,test
130617,train
130623,train
130634,train
130636,train
130640,train
130645,test
130665,train
130670,train
130671,train
130674,train
130676,train
130683,test
130697,train
130698,train
130701,train
130703,train
130707,test
130708,validation
130717,train
130725,train
130729,test
130730,validation
130742,train
130744,test
130745,validation
130761,validation
130762,test
130763,train
130776,validation
130779,train
130780,train
130791,train
130792,train
130800,train
130807,train
130828,train
130829,validation
130833,validation
130846,train
130848,train
130850,validation
130855,train
130857,validation
130861,train
130865,train
130871,train
130878,train
130881,test
130888,train
130893,train
130895,train
130899,train
130900,train
130911,train
130922,train
130923,train
130926,validation
130928,train
130936,train
130939,train
130944,train
130949,train
130951,validation
130960,validation
130964,validation
130966,train
130968,train
130972,train
130981,train
130982,train
130988,train
130995,train
131001,train
131002,test
131006,train
131007,train
131017,train
131019,train
131023,train
131031,train
131032,train
131033,test
131044,train
131049,train
131056,train
131060,train
131063,train
131064,train
131082,train
131084,train
131086,train
131094,train
131097,train
131099,train
131102,train
131106,train
131108,train
131120,validation
131130,train
131139,validation
131144,train
131147,train
131157,test
131169,train
131173,train
131182,test
131183,train
131195,train
131209,train
131211,train
131215,test
131221,train
131225,validation
131226,train
131240,train
131242,test
131248,train
131249,train
131250,train
131268,train
131277,validation
131287,train
131291,test
131297,train
131300,train
131307,test
131309,train
131312,train
131315,train
131327,train
131332,train
131349,train
131353,train
131362,train
131363,train
131366,train
131368,train
131372,train
131373,validation
131379,test
131387,train
131391,train
131396,train
131400,train
131408,test
131412,train
131416,train
131426,train
131433,train
131437,validation
131438,train
131444,train
131452,train
131455,validation
131457,train
131463,validation
131476,test
131481,train
131483,train
131495,train
131498,test
131506,train
131507,train
131508,train
131510,test
131512,train
131513,test
131521,train
131530,train
131532,train
131538,validation
131541,train
131544,train
131549,train
131550,train
131554,train
131556,test
131561,train
131568,train
131594,train
131602,test
131604,test
131619,train
131621,train
131624,train
131625,train
131631,train
131637,train
131658,train
131669,train
131671,train
131681,train
131701,train
131702,train
131708,train
131713,train
131714,validation
131716,train
131730,validation
131736,test
131742,train
131752,train
131756,validation
131760,train
131762,train
131773,train
131775,train
131782,test
131796,train
131798,validation
131803,validation
131804,test
131807,train
131816,test
131828,train
131833,train
131840,test
131851,train
131866,train
131867,validation
131871,train
131875,train
131876,test
131891,test
131898,train
131936,train
131938,test
131939,train
131940,validation
131944,test
131948,train
131962,train
131970,train
131972,train
131974,validation
131976,train
131988,train
131992,test
131999,train
132006,train
132028,train
132029,train
132048,train
132056,test
132059,test
132071,train
132085,train
132088,train
132093,train
132102,train
132109,test
132116,train
132121,validation
132124,train
132132,train
132134,train
132141,train
132142,train
132143,train
132146,validation
132147,train
132151,train
132155,train
132185,train
132192,train
132197,train
132198,train
132201,train
132202,train
132211,train
132236,train
132243,validation
132245,train
132253,test
132256,test
132260,train
132262,test
132267,test
132271,train
132280,train
132282,test
132289,train
132297,train
132302,train
132309,test
132310,validation
132312,train
132316,train
132318,test
132322,train
132326,train
132333,validation
132335,train
132336,train
132337,validation
132339,validation
132341,test
132342,train
132351,validation
132352,train
132354,train
132358,train
132363,validation
132366,test
132386,validation
132389,test
132393,test
132394,validation
132399,train
132402,train
132407,train
132412,train
132422,train
132425,train
132433,train
132445,train
132454,train
132471,test
132474,train
132479,train
132486,train
132505,test
132507,validation
132508,train
132514,train
132522,validation
132523,test
132526,train
132529,train
132534,train
132550,train
132552,train
132554,train
132556,train
132559,validation
132560,test
132570,train
132571,validation
132579,train
132584,train
132585,test
132591,test
132596,train
132601,validation
132610,train
132619,train
132632,train
132633,train
132638,train
132645,train
132655,test
132667,train
132672,validation
132675,train
132676,train
132691,train
132696,train
132699,train
132705,train
132706,validation
132710,train
132720,train
132724,train
132727,test
132728,train
132732,test
132733,validation
132741,train
132746,train
132749,train
132754,train
132755,train
132757,train
132758,train
132761,train
132762,test
132782,train
132784,test
132785,train
132804,test
132805,train
132807,validation
132817,test
132818,train
132821,test
132832,train
132838,train
132850,train
132851,train
132855,train
132864,test
132868,train
132871,train
132872,test
132880,train
132881,train
132889,train
132891,train
132904,train
132910,train
132913,train
132914,train
132917,train
132925,train
132926,train
132932,train
132941,train
132949,test
132952,train
132958,train
132964,train
132970,train
132971,train
132972,train
132983,train
132990,test
132994,train
133001,train
133010,train
133013,test
133014,train
133015,train
133020,train
133023,test
133033,test
133034,test
133035,train
133038,train
133040,train
133041,validation
133044,test
133049,train
133051,train
133056,train
133057,train
133058,train
133068,train
133074,train
133075,train
133082,validation
133086,validation
133089,train
133097,train
133104,train
133105,train
133106,train
133109,train
133115,train
133117,train
133118,validation
133127,train
133130,train
133131,test
133140,validation
133150,train
133161,train
133169,train
133170,validation
133192,train
133194,train
133198,train
133206,train
133209,train
133222,validation
133224,train
133225,train
133231,train
133233,train
133243,train
133246,train
133250,validation
133253,validation
133261,train
133262,train
133267,train
133277,train
133283,train
